Neighbourhood,ObjectId
Rouge (131),7002
Englemount-Lawrence (32),7005
Pelmo Park-Humberlea (23),7008
Bay Street Corridor (76),7011
Corso Italia-Davenport (92),7014
Bay Street Corridor (76),7016
Mimico (includes Humber Bay Shores) (17),7017
Annex (95),7019
Moss Park (73),7020
Kennedy Park (124),7023
Annex (95),7046
Oakwood Village (107),7119
Black Creek (24),7120
West Humber-Clairville (1),7124
Weston (113),7125
East End-Danforth (62),7126
Runnymede-Bloor West Village (89),7129
Downsview-Roding-CFB (26),7130
Kennedy Park (124),7131
Willowdale East (51),7132
Wexford/Maryvale (119),7136
Bay Street Corridor (76),7138
Flemingdon Park (44),7139
North St.James Town (74),7142
East End-Danforth (62),7144
Islington-City Centre West (14),7146
Woburn (137),7149
Bay Street Corridor (76),7151
Rosedale-Moore Park (98),7152
Scarborough Village (139),7154
Dovercourt-Wallace Emerson-Junction (93),7158
Bay Street Corridor (76),7160
Rosedale-Moore Park (98),7161
Humbermede (22),7162
East End-Danforth (62),7163
East End-Danforth (62),7164
Clairlea-Birchmount (120),7168
L'Amoreaux (117),7169
Lambton Baby Point (114),7170
Islington-City Centre West (14),7171
West Humber-Clairville (1),7172
Rexdale-Kipling (4),7173
Rexdale-Kipling (4),7174
Yorkdale-Glen Park (31),7175
Lambton Baby Point (114),7176
Clairlea-Birchmount (120),7177
Corso Italia-Davenport (92),7178
Westminster-Branson (35),7179
North Riverdale (68),7180
Church-Yonge Corridor (75),7181
Dorset Park (126),7182
Centennial Scarborough (133),7183
Centennial Scarborough (133),7184
Rosedale-Moore Park (98),7185
Mount Olive-Silverstone-Jamestown (2),7186
Willowridge-Martingrove-Richview (7),7187
Islington-City Centre West (14),7188
Guildwood (140),7189
Malvern (132),7190
Lansing-Westgate (38),7191
Lansing-Westgate (38),7192
Waterfront Communities-The Island (77),7193
Danforth (66),7194
South Parkdale (85),7195
South Parkdale (85),7196
Bay Street Corridor (76),7197
Cliffcrest (123),7198
Cliffcrest (123),7199
Willowridge-Martingrove-Richview (7),7200
Bayview Woods-Steeles (49),7201
Woburn (137),7202
Woburn (137),7203
West Hill (136),7204
Woburn (137),7205
Mount Olive-Silverstone-Jamestown (2),7208
Hillcrest Village (48),7212
The Beaches (63),7213
Clanton Park (33),7214
Moss Park (73),7215
Kensington-Chinatown (78),7216
Kensington-Chinatown (78),7217
Parkwoods-Donalda (45),7218
Oakwood Village (107),7219
Palmerston-Little Italy (80),7220
Church-Yonge Corridor (75),7221
Church-Yonge Corridor (75),7222
High Park-Swansea (87),7223
Moss Park (73),7224
West Humber-Clairville (1),7225
Don Valley Village (47),7226
Islington-City Centre West (14),7227
